task_id,agent_id,outcome_success,outcome_accuracy,total_time,cost,satisfaction
700,16,True,0.5402468346258296,30,3.6,8
699,7,True,0.2526781861302134,30,36.3,10
698,17,True,0.5563473820350321,30,34.5,9
697,4,True,0.503638251677112,30,54.0,10
696,19,True,0.18517869108743124,30,23.4,6
695,4,True,0.2606949287490178,30,54.0,8
694,13,False,0.18871018833935907,30,59.7,2
693,19,True,0.6510520251287887,30,23.4,6
692,13,False,0.3251331239134688,30,59.7,1
691,1,True,0.46524345673319656,30,35.7,8
690,6,True,0.6538944107060327,30,35.4,10
689,5,True,0.7288938960263496,30,11.4,10
688,7,False,0.19856962647787219,30,36.3,4
687,12,True,0.6697629246504511,30,50.1,10
686,12,False,0.30482943815646285,30,50.1,2
685,16,True,0.548568216467078,30,3.6,8
684,12,True,0.5666244069494712,30,50.1,8
683,18,True,0.7123227740986042,30,13.5,10
682,14,True,0.5819625224958827,30,14.7,8
681,2,False,0.511056253127711,30,24.6,4
680,0,False,0.37403540861636253,30,36.6,2
679,0,False,0.14762143445721423,30,36.6,1
678,4,False,0.19829931462345618,30,54.0,2
677,18,False,0.5410941954696099,30,13.5,5
676,8,True,0.4548868150511602,30,4.5,7
675,17,False,0.11964371051306039,30,34.5,4
674,13,True,0.2930915938598104,30,59.7,6
673,12,True,0.5593173803665077,30,50.1,9
672,4,True,0.6756019212611818,30,54.0,9
671,17,True,0.29587318856626066,30,34.5,7
670,7,False,0.5142006079149787,30,36.3,5
669,19,False,0.6462200417469285,30,23.4,4
668,13,True,0.2831008946804736,30,59.7,8
667,0,False,0.21228712125124,30,36.6,1
666,1,False,0.3945602027255437,30,35.7,3
665,4,True,0.6286706552681135,30,54.0,8
664,0,False,0.2621424187113935,30,36.6,1
663,18,True,0.4015741933968303,30,13.5,8
662,2,True,0.5689091785242127,30,24.6,10
661,19,False,0.31252270585568814,30,23.4,4
660,18,True,0.43488042789368514,30,13.5,6
659,9,True,0.7184798498799239,30,9.9,7
658,4,True,0.4994809527003957,30,54.0,10
657,10,False,0.43570919403420505,30,45.0,3
656,6,True,0.49855455335734233,30,35.4,9
655,18,True,0.7229205603618164,30,13.5,8
654,3,False,0.4487282604719507,30,14.1,1
653,5,True,0.7274815873299156,30,11.4,10
652,13,True,0.5002257899485479,30,59.7,8
651,18,False,0.6840974268857161,30,13.5,5
650,13,False,0.22323114699355967,30,59.7,5
649,19,False,0.14139304129215363,30,23.4,5
648,9,True,0.6828576216275042,30,9.9,7
647,18,True,0.8121488736511849,30,13.5,9
646,9,True,0.8048492401528223,30,9.9,10
645,9,True,0.6323779159620462,30,9.9,10
644,17,False,0.2600414185619574,30,34.5,3
643,13,False,0.24695405703629092,30,59.7,1
642,11,True,0.21978630845636496,30,46.5,8
641,7,False,0.6758807050934769,30,36.3,3
640,18,True,0.796998493736373,30,13.5,7
639,10,True,0.6626420794725603,30,45.0,7
638,8,True,0.8601766886138027,30,4.5,9
637,17,False,0.21082015682674404,30,34.5,4
636,18,True,0.6016044417171555,30,13.5,6
635,2,False,0.12095181408812555,30,24.6,2
634,2,False,0.3842638604383838,30,24.6,5
633,3,False,0.5449206940293534,30,14.1,1
632,11,False,0.6539747881322392,30,46.5,1
631,2,False,0.37961445698124296,30,24.6,2
630,6,False,0.60741347940385,30,35.4,4
629,15,True,0.5629293561203,30,9.9,7
628,9,True,0.629927906010673,30,9.9,6
627,0,False,0.42420913243724745,30,36.6,4
626,12,True,0.691452225430955,30,50.1,6
625,6,True,0.5866473094121671,30,35.4,7
624,3,False,0.8746453137922485,30,14.1,5
623,17,False,0.2557597280994197,30,34.5,3
622,16,False,0.8213999189928408,30,3.6,3
621,15,False,0.6514074417860756,30,9.9,2
620,4,True,0.1847286092914075,30,54.0,10
619,7,True,0.5846806536785727,30,36.3,7
618,11,False,0.401620763975581,30,46.5,1
617,15,True,0.8902388897087501,30,9.9,9
616,19,False,0.1822318964314742,30,23.4,3
615,12,False,0.5554070924830967,30,50.1,4
614,18,True,0.8387250963163447,30,13.5,7
613,9,True,0.5791302697336588,30,9.9,10
612,17,False,0.1541417445015924,30,34.5,4
611,6,False,0.13987364651439058,30,35.4,1
610,11,False,0.15617637853591373,30,46.5,1
609,13,True,0.688898879023144,30,59.7,6
608,19,True,0.5237754372982738,30,23.4,8
607,10,True,0.5302984522786842,30,45.0,9
606,3,True,0.6486724550541387,30,14.1,9
605,17,True,0.4060745437480212,30,34.5,8
604,2,False,0.3873139324862207,30,24.6,3
603,7,True,0.3681477868923403,30,36.3,8
602,1,False,0.20811801282595743,30,35.7,4
601,6,True,0.43020743835540964,30,35.4,8
600,7,False,0.32302696706163214,30,36.3,5
599,14,False,0.5796943765150062,30,14.7,2
598,13,True,0.5857247285246752,30,59.7,10
597,11,False,0.49305637065357766,30,46.5,4
596,4,True,0.4337305327177883,30,54.0,8
595,10,False,0.6391793418418068,30,45.0,4
594,17,True,0.31014351951090174,30,34.5,6
